,,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
,A1-AIM,,,,,,,,,,,,
OECD90,,22.7,17.0,9.9,6.9,6.4,6.3,6.3,6.0,5.7,5.3,5.0,4.6
FSU/EE,,17.0,11.0,12.2,10.8,7.5,4.3,2.4,2.0,1.7,1.6,1.6,1.6
China/CPA,,11.8,16.5,28.7,35.0,26.7,10.1,3.4,3.2,3.0,2.9,2.8,2.7
S&E Asia,,5.9,8.8,13.4,19.2,18.9,9.7,5.0,4.7,4.5,4.2,3.9,3.7
Latin Am,,4.6,5.4,5.3,5.2,5.1,4.9,4.8,4.7,4.6,4.5,4.4,4.3
Afr/Mid E,,6.0,7.4,14.7,20.2,23.4,30.6,39.3,23.3,13.2,9.2,8.5,7.8
,,67.9,66.0,84.1,97.2,88.0,65.9,61.1,43.9,32.7,27.7,26.1,24.6
,,,,,,,,,,,,,
,A2-ASF,,,,,,,,,,,,
OECD90,,22.7,17.0,7.9,8.7,9.3,9.5,9.8,9.3,8.8,9.1,10.5,11.8
FSU/EE,,17.0,11.0,11.1,12.0,12.0,11.1,10.2,8.2,6.2,4.8,4.0,3.2
China/CPA,,11.8,16.5,19.6,22.6,21.2,17.7,15.7,13.7,11.1,10.1,8.7,7.5
S&E Asia,,5.9,8.8,16.6,28.9,35.3,35.0,33.2,26.4,20.2,15.5,14.4,13.0
Latin Am,,4.6,5.4,8.3,11.8,13.0,10.3,9.7,7.2,5.5,3.2,2.7,2.7
Afr/Mid E,,6.0,7.4,8.2,12.7,18.7,22.3,23.8,21.8,18.9,18.9,19.2,19.1
,,67.9,66.0,71.7,96.5,109.5,106.0,102.4,86.6,70.7,61.7,59.5,57.3
,,,,,,,,,,,,,
,B1-IMAGE,,,,,,,,,,,,
OECD90,,22.7,17.0,11.8,7.9,5.4,3.6,2.5,2.0,2.0,2.1,2.3,2.6
FSU/EE,,17.0,11.0,9.0,7.7,6.9,7.0,6.5,5.6,4.6,3.9,3.0,2.5
China/CPA,,11.8,16.5,16.4,13.7,11.7,9.6,7.2,5.2,3.7,2.9,2.3,1.7
S&E Asia,,5.9,8.8,12.6,15.4,17.5,18.0,14.1,10.1,7.0,4.8,3.5,2.5
Latin Am,,4.6,5.4,11.3,13.1,14.6,13.5,10.3,7.3,4.8,3.6,2.8,2.2
Afr/Mid E,,6.0,7.4,9.9,13.7,19.1,23.9,25.3,22.6,19.2,16.0,12.8,10.4
,,67.9,66.0,70.9,71.6,75.2,75.5,65.9,52.8,41.3,33.1,26.8,21.9
,,,,,,,,,,,,,
,B2-MESSAGE,,,,,,,,,,,,
OECD90,,22.7,17.0,11.3,6.7,5.7,4.9,4.1,3.7,3.4,3.3,3.3,3.5
FSU/EE,,17.0,11.0,7.1,3.5,1.6,1.3,2.9,2.8,2.9,3.1,3.4,3.6
China/CPA,,11.8,16.5,19.8,20.1,18.2,16.5,10.2,7.3,5.5,5.2,5.2,5.2
S&E Asia,,5.9,8.8,10.3,12.8,15.1,15.5,16.2,17.0,16.6,16.3,16.1,15.4
Latin Am,,4.6,5.4,7.0,7.0,6.8,6.4,6.6,6.1,5.4,4.6,3.7,3.2
Afr/Mid E,,6.0,7.4,7.4,8.3,9.9,11.4,12.8,13.9,14.2,14.5,14.3,14.0
,,67.9,66.0,62.9,58.3,57.3,56.0,52.7,50.8,47.9,47.0,46.0,44.9
,,,,,,,,,,,,,
,A1T-MESSAGE,,,,,,,,,,,,
OECD90,,22.7,17.0,8.3,2.1,0.6,0.6,0.0,0.4,0.8,1.3,1.9,2.3
FSU/EE,,17.0,11.0,7.5,4.9,5.2,4.5,4.1,1.8,1.2,0.7,3.0,3.1
China/CPA,,11.8,16.5,22.2,24.2,25.7,14.9,8.6,5.2,3.5,2.1,1.5,1.1
S&E Asia,,5.9,8.8,10.2,11.2,10.0,7.9,7.8,8.2,8.1,6.8,5.1,4.0
Latin Am,,4.6,5.4,5.7,6.5,6.0,5.1,4.6,3.7,2.8,3.0,2.6,1.9
Afr/Mid E,,6.0,7.4,8.0,8.1,9.0,10.6,12.3,12.1,10.7,8.4,6.3,4.9
,,67.9,66.0,61.7,56.9,56.6,43.6,37.2,31.4,27.1,22.2,20.3,17.2
,,,,,,,,,,,,,
,A1G-MiniCAM (a.k.a. A1FI),,,,,,,,,,,,
OECD90,,22.7,17.0,13.9,4.7,4.0,4.2,5.1,5.2,5.7,6.5,7.3,8.0
FSU/EE,,17.0,11.0,10.3,10.5,13.3,13.4,10.7,5.8,3.1,2.4,2.5,2.6
China/CPA,,11.8,16.5,25.7,34.5,33.4,27.9,18.0,12.8,9.5,8.1,7.9,7.6
S&E Asia,,5.9,8.8,13.0,18.1,23.8,24.1,19.0,11.5,7.5,7.0,6.7,6.5
Latin Am,,4.6,5.4,6.6,7.3,6.6,5.3,3.4,3.3,3.3,3.3,3.4,3.5
Afr/Mid E,,6.0,7.4,8.3,8.8,12.1,16.2,21.4,14.6,10.5,9.1,9.0,8.8
,,67.9,66.0,77.8,83.9,93.1,91.0,77.5,53.3,39.6,36.4,36.8,37.1
